name,team,position,sport,projected_points
Denzel Clarke,ATH,OF,MLB,215.000
JP Sears,SD,SP,MLB,214.900
Cole Sands,MIN,SP,MLB,214.600
Tony Santillan,CIN,RP,MLB,214.550
Jonathan Cannon,CWS,SP,MLB,214.050
Jordan Leasure,CWS,RP,MLB,214.000
Moises Ballesteros,CHC,C,MLB,213.750
Shawn Armstrong,CLE,RP,MLB,213.750
Mark Leiter Jr.,ATH,RP,MLB,213.100
Davis Schneider,TOR,2B,MLB,212.750
Matt Strahm,KC,RP,MLB,212.600
Alex Vesia,LAD,RP,MLB,212.500
Victor Caratini,MIN,C,MLB,212.000
Ryan Weiss,HOU,SP,MLB,211.550
Joe Boyle,TB,SP,MLB,211.200
Cole Henry,WSH,RP,MLB,211.200
Louis Varland,TOR,RP,MLB,210.500
Dylan Lee,ATL,RP,MLB,210.200
Heriberto Hernandez,MIA,OF,MLB,208.000
JJ Bleday,CIN,OF,MLB,208.000
Fernando Cruz,NYY,RP,MLB,207.850
Jimmy Herget,COL,RP,MLB,207.300
Austin Martin,MIN,2B,MLB,206.250
Hunter Gaddis,CLE,RP,MLB,206.200
Matt Svanson,STL,RP,MLB,206.100
Bryan Baker,TB,RP,MLB,205.750
Jared Koenig,MIL,RP,MLB,205.700
Luis Medina,ATH,SP,MLB,205.500
Tyler Holton,DET,SP,MLB,205.200
Calvin Faucher,MIA,RP,MLB,204.900
Justin Topa,MIN,RP,MLB,203.900
Keegan Akin,BAL,SP,MLB,203.500
Tyler Rogers,TOR,RP,MLB,203.350
Orion Kerkering,PHI,RP,MLB,203.200
Jose Alvarado,PHI,RP,MLB,203.000
Colin Rea,CHC,SP,MLB,202.600
Jose Urquidy,PIT,RP,MLB,201.800
Jake Bauers,MIL,1B,MLB,201.250
Aaron Ashby,MIL,RP,MLB,201.200
Troy Melton,DET,SP,MLB,201.100
Nasim Nunez,WSH,2B,MLB,201.000
Sean Murphy,ATL,C,MLB,201.000
Caleb Thielbar,CHC,RP,MLB,199.850
Bryan King,HOU,RP,MLB,199.650
Kyle Finnegan,DET,RP,MLB,199.250
Eduard Bazardo,SEA,RP,MLB,198.950
Danny Jansen,TEX,C,MLB,198.750
Lucas Erceg,KC,RP,MLB,197.650
Andrew Alvarez,WSH,SP,MLB,197.300
Gregory Soto,PIT,RP,MLB,196.550
Keibert Ruiz,WSH,C,MLB,196.250
Taylor Walls,TB,SS,MLB,196.250
Brad Keller,PHI,RP,MLB,195.800
Yimi Garcia,TOR,RP,MLB,195.650
Steven Okert,HOU,RP,MLB,194.950
Carmen Mlodzinski,PIT,SP,MLB,194.300
Ryan Thompson,ARI,RP,MLB,194.100
Kody Funderburk,MIN,RP,MLB,194.000
Graham Ashcraft,CIN,RP,MLB,193.650
Patrick Sandoval,BOS,SP,MLB,191.750
Tyler Wells,BAL,SP,MLB,191.550
Mauricio Dubon,ATL,2B,MLB,191.500
Jacob Young,WSH,OF,MLB,191.250
Max Muncy,ATH,2B,MLB,190.000
Juan Mejia,COL,RP,MLB,189.500
Gabe Speier,SEA,RP,MLB,188.750
Romy Gonzalez,BOS,1B,MLB,188.250
Javier Baez,DET,2B,MLB,187.750
Matt Shaw,CHC,3B,MLB,187.750
Jakob Junis,TEX,RP,MLB,187.700
Griffin Conine,MIA,OF,MLB,187.250
Paul Sewald,ARI,RP,MLB,187.000
Elvis Alvarado,ATH,RP,MLB,185.400
Spencer Bivens,SF,RP,MLB,185.350
